SparkleIndex,SparkleTerm,Cui,UmlsCanonicalName,ChosenMethod,ChosenScore,Types
0,Yellow Fever Vaccination,C0199823,Vaccination against yellow fever,alias,0.0,"[""T061""]"
2,Zenker Diverticulum,C0085232,Zenker Diverticulum,alias,0.0,"[""T047""]"
3,Zika Virus,C0318793,Zika Virus,alias,0.0,"[""T005""]"
5,Xerosis,C0259817,Xerosis,alias,0.0,"[""T047""]"
8,Yaws,C0043388,Yaws,alias,0.0,"[""T047""]"
9,Yellow Fever,C0043395,Yellow Fever,alias,0.0,"[""T047""]"
10,Wrist Sprain,C0160063,Sprain of wrist,alias,0.0,"[""T037""]"
12,Wrist Surgery,C0187064,Operative procedure on wrist,alias,0.0,"[""T061""]"
14,Xanthoma,C0302314,Xanthoma,alias,0.0,"[""T047""]"
15,Xerophthalmia,C0043349,Xerophthalmia,alias,0.0,"[""T047""]"
18,Wrist Injury,C0043264,Wrist Injuries,alias,0.0,"[""T037""]"
20,Wrist Pain,C0221785,Pain in wrist,alias,0.0,"[""T184""]"
21,Wrist Reconstruction,C0845620,Wrist reconstruction,alias,0.0,"[""T061""]"
22,Wrinkles,C0037301,Skin Wrinkling,alias,0.0,"[""T033""]"
23,Wrist Arthritis,C0409210,Arthritis of wrist,alias,0.0,"[""T047""]"
25,Wrist Dislocation,C3278433,Dislocation of wrist,alias,0.0,"[""T037""]"
27,Wrist Fracture,C5551302,Fracture of wrist,alias,0.0,"[""T037""]"
28,Womens Health,C0080339,Women's Health,alias,0.0,"[""T091""]"
31,Wound Care,C0886052,wound care,alias,0.0,"[""T061""]"
32,Wound Debridement,C0191342,Debridement of wound of skin,alias,0.0,"[""T061""]"
33,Wound Infection,C0043241,Wound Infection,alias,0.0,"[""T046""]"
34,Williams Syndrome,C0175702,Williams Syndrome,alias,0.0,"[""T047""]"
36,Wilsons Disease,C0019202,Hepatolenticular Degeneration,alias,0.0,"[""T047""]"
37,Wisdom Teeth,C0026369,Structure of wisdom tooth,alias,0.0,"[""T023""]"
38,Wiskott Aldrich Syndrome,C0043194,Wiskott-Aldrich Syndrome,alias,0.0,"[""T047""]"
39,Wolff-Parkinson-White Syndrome,C0043202,Wolff-Parkinson-White Syndrome,alias,0.0,"[""T047""]"
40,Wheezing,C0043144,Wheezing,alias,0.0,"[""T184""]"
41,Whipple Procedure,C0085162,Pancreaticoduodenectomy,alias,0.0,"[""T061""]"
42,Whipples Disease,C0023788,Whipple Disease,alias,0.0,"[""T047""]"
44,Whole Exome Sequencing,C3640077,Whole Exome Sequencing,alias,0.0,"[""T063""]"
45,Whole Genome Sequencing,C3640076,Whole Genome Sequencing,alias,0.0,"[""T063""]"
47,Wellness,C0018684,Health,alias,0.0,"[""T078""]"
50,West Nile Virus,C1096184,West Nile viral infection,alias,0.0,"[""T047""]"
51,Wheat Allergy,C0949570,Wheat Hypersensitivity,alias,0.0,"[""T047""]"
56,Well Differentiated Liposarcoma,C1266129,Atypical Lipoma,alias,0.0,"[""T191""]"
59,Weight Loss,C1262477,Weight Loss,alias,0.0,"[""T033""]"
62,Weight Problem,C0848241,weight problem,alias,0.0,"[""T184""]"
