SparkleIndex,SparkleTerm
1,Y 90 Treatment
4,Zika Virus Testing
6,Xray Of The Foot
7,Y90 Treatment
11,Wrist Steroid Injection
13,Wrist Tendon Lengthening
16,Wrist Fracture Surgery
17,Wrist Fusion
19,Wrist Instability
24,Wrist Contracture
26,Wrist Flexor Recession
29,Work Related Musculoskeletal Disorders
30,Worrisome Moles
35,Wilms Tumor 1 Mutations
43,White Platelet Syndrome
46,Well Woman Visit
48,Wellness Check
49,Wendlers Glottoplasty
52,Weird Rash
53,Welcome To Medicare Exam
54,Well Adult Exam
55,Well Child Exam
57,Weakness Of Eye Closure
58,Wearable Defibrillator
60,Weight Loss Counseling
61,Weight Management After Transplant
65,Wasp Stings
66,Watchman Device Implantation
67,Weak Cry
73,Wada Testing
81,Voiding Techniques
82,Voiding Trial
87,Vocal Tremor
90,Voice Problems
92,Voice Screening
93,Voiding Dysfunction
95,Vocal Cord Issues
96,Vocal Cord Lesions
98,Vocal Cord Strain
102,Vitreoretinal Disorders
103,Vkorc1 Mutation
104,Vnus Closure
105,Vo2 Measurement
107,Visual Reinforcement Audiometry Vra
108,Visualase Thermal Laser Ablation
110,Vitamin B12 Excess
118,Virtual Care
122,Vision Testing And Screening In Young Children
124,Visual Changes
129,Viral Retinitis
130,Virilizing Syndrome
131,Video Urodynamics
137,Vestibular And Balance Disorders
138,Vestibular Evoked Myogenic Potential Vemp Testing
141,Vestibular Services
144,Vertical Rectus Abdominis Muscle Flap
145,Vertical Sleeve Gastrectomy
147,Vesicocutaneous Fistula
148,Vesicoureteral Reflux Vur
149,Vesicoureteral Reflux Vur Surgery
151,Vertebral Stapling
152,Vertebral Steal Syndrome
153,Vertebral Transposition
156,Vertical Expandable Prosthetic Titanium Rib
158,Vertebrae Surgery
159,Vertebral Artery Embolization
161,Vertebral Column Resection
175,Ventricular Septal Defect Repair
176,Venous Occlusive Crisis
177,Venous Stasis Disease
178,Venous Stenting
186,Venous Disorders
188,Venous Malformation Brain
191,Velo Cardio Facial Syndrome Vcfs
192,Velopharyngeal Deficiencies
194,Vascularized Bone Graft
195,Vasculitic Neuropathy
198,Vasomotor Symptoms
201,Vcug
